INFO [2012-08-21 12:05:16,965] [DirectoryManager.java:153]  IGV Directory: /home/jinkuk/igv
INFO [2012-08-21 12:05:17,025] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-08-21 12:05:17,225] [GenomeManager.java:120]  Genome loaded.  id= hg19
INFO [2012-08-21 12:10:12,605] [DirectoryManager.java:153]  IGV Directory: /root/igv
INFO [2012-08-21 12:10:12,636] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-08-21 12:10:12,835] [GenomeManager.java:120]  Genome loaded.  id= hg19
INFO [2012-10-10 14:58:45,832] [DirectoryManager.java:153]  IGV Directory: /home/jinkuk/igv
INFO [2012-10-10 14:58:45,898] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-10-10 14:58:46,338] [GenomeManager.java:120]  Genome loaded.  id= hg19
INFO [2012-10-10 14:59:51,518] [DirectoryManager.java:153]  IGV Directory: /root/igv
INFO [2012-10-10 14:59:51,568] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-10-10 14:59:51,987] [GenomeManager.java:120]  Genome loaded.  id= hg19
INFO [2012-10-10 15:02:22,735] [DirectoryManager.java:153]  IGV Directory: /root/igv
INFO [2012-10-10 15:02:22,790] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-10-10 15:02:23,300] [GenomeManager.java:120]  Genome loaded.  id= hg19
INFO [2012-10-10 15:58:47,093] [DirectoryManager.java:153]  IGV Directory: /home/jinkuk/igv
INFO [2012-10-10 15:58:47,178] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-10-10 15:58:47,617] [GenomeManager.java:120]  Genome loaded.  id= hg19
INFO [2012-10-15 17:59:26,388] [DirectoryManager.java:153]  IGV Directory: /home/jinkuk/igv
INFO [2012-10-15 17:59:26,556] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-10-15 17:59:26,774] [GenomeManager.java:120]  Genome loaded.  id= hg19
INFO [2012-10-15 21:30:09,109] [DirectoryManager.java:153]  IGV Directory: /home/jinkuk/igv
INFO [2012-10-15 21:30:09,276] [GenomeManager.java:99]  Loading genome: /home/tools/IGVTools/genomes/hg19.genome
INFO [2012-10-15 21:30:09,496] [GenomeManager.java:120]  Genome loaded.  id= hg19
